Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,DATE
1/23/2017,21:00,917269,381666,87.69,149,13,0,100,2794,1/23/17 21:00
1/23/2017,21:05,917084,380019,88.1,149,13,0,100,3143,1/23/17 21:05
1/23/2017,21:10,917124,378715,88.45,149,13,0,100,2654,1/23/17 21:10
1/23/2017,21:15,917162,377493,88.77,148,13,0,100,2513,1/23/17 21:15
1/23/2017,21:20,917214,376245,89.11,149,13,0,100,2568,1/23/17 21:20
1/23/2017,21:25,917228,374916,89.47,149,13,0,100,2709,1/23/17 21:25
1/23/2017,21:30,917373,373756,89.79,149,13,0,100,2483,1/23/17 21:30
1/23/2017,21:35,917320,372554,90.11,149,13,0,100,2412,1/23/17 21:35
1/23/2017,21:40,917345,371548,90.38,149,13,0,100,2082,1/23/17 21:40
1/23/2017,21:45,917341,370372,90.7,149,12,0,100,2414,1/23/17 21:45
1/23/2017,21:50,917392,369279,91,149,12,0,100,2296,1/23/17 21:50
1/23/2017,21:55,917308,368188,91.28,149,12,0,100,2186,1/23/17 21:55
1/24/2017,22:00,917298,367194,91.55,148,12,0,100,2067,1/23/17 22:00
1/24/2017,22:05,917497,366350,91.81,148,12,0,100,1933,1/23/17 22:05
1/24/2017,22:10,917452,365347,92.08,149,12,0,100,2053,1/23/17 22:10
1/24/2017,22:15,917533,364409,92.34,149,12,0,100,2027,1/23/17 22:15
1/24/2017,22:20,917539,363408,92.62,149,12,0,100,2102,1/23/17 22:20
1/24/2017,22:25,917503,362456,92.88,149,12,0,100,1970,1/23/17 22:25
1/24/2017,22:30,917375,361442,93.14,149,12,0,100,2030,1/23/17 22:30
1/24/2017,22:35,917344,360466,93.41,149,12,0,100,2036,1/23/17 22:35
1/24/2017,22:40,917447,359402,93.72,149,12,0,100,2339,1/23/17 22:40
1/24/2017,22:45,917590,358609,93.95,148,12,0,100,1815,1/23/17 22:45
1/24/2017,22:50,917595,357652,94.22,149,12,0,100,2041,1/23/17 22:50
1/24/2017,22:55,917583,356788,94.46,149,12,0,100,1834,1/23/17 22:55
1/24/2017,23:00,917569,356138,94.64,149,12,0,100,1379,1/23/17 23:00
1/24/2017,23:05,917606,355348,94.87,149,12,0,100,1724,1/23/17 23:05
1/24/2017,23:10,917544,354481,95.1,149,12,0,100,1811,1/23/17 23:10
1/24/2017,23:15,917593,353726,95.32,149,12,0,100,1666,1/23/17 23:15
1/24/2017,23:20,917681,352865,95.58,148,12,0,100,1944,1/23/17 23:20
1/24/2017,23:25,917491,352008,95.8,149,12,0,100,1696,1/23/17 23:25
1/24/2017,23:30,917583,351368,95.99,149,12,0,100,1464,1/23/17 23:30
1/24/2017,23:35,917735,350614,96.22,149,12,0,100,1764,1/23/17 23:35
1/24/2017,23:40,917599,349775,96.45,149,12,0,100,1714,1/23/17 23:40
1/24/2017,23:45,917598,349043,96.66,149,12,0,100,1596,1/23/17 23:45
1/24/2017,23:50,917632,348323,96.87,148,12,0,100,1613,1/23/17 23:50
1/24/2017,23:55,917698,347704,97.05,149,12,0,100,1411,1/23/17 23:55
1/24/2017,0:00,917808,347096,97.24,149,12,0,100,1426,1/24/17 0:00
1/24/2017,0:05,917863,346362,97.46,148,12,0,100,1671,1/24/17 0:05
1/24/2017,0:10,917771,345603,97.67,149,11,0,100,1596,1/24/17 0:10
1/24/2017,0:15,917896,344937,97.87,149,11,0,100,1574,1/24/17 0:15
1/24/2017,0:20,918064,344359,98.06,149,11,0,100,1418,1/24/17 0:20
1/24/2017,0:25,918090,343671,98.26,149,11,0,100,1546,1/24/17 0:25
1/24/2017,0:30,917944,342954,98.45,149,11,0,100,1471,1/24/17 0:30
1/24/2017,0:35,918034,342365,98.64,149,11,0,100,1385,1/24/17 0:35
1/24/2017,0:40,918021,341530,98.88,149,11,0,100,1851,1/24/17 0:40
1/24/2017,0:45,918112,340871,99.08,149,11,0,100,1548,1/24/17 0:45
1/24/2017,0:50,918144,340176,99.29,149,11,0,100,1583,1/24/17 0:50
1/24/2017,0:55,918307,339630,99.47,149,11,0,100,1360,1/24/17 0:55
1/24/2017,1:00,918268,338848,99.69,149,11,0,100,1725,1/24/17 1:00
1/24/2017,1:05,918287,338188,99.89,148,11,0,100,1512,1/24/17 1:05
1/24/2017,1:10,918177,337480,100.09,148,11,0,100,1517,1/24/17 1:10
1/24/2017,1:15,918220,336876,100.27,148,11,0,100,1411,1/24/17 1:15
1/24/2017,1:20,918261,336290,100.45,149,11,0,100,1361,1/24/17 1:20
1/24/2017,1:25,918425,335652,100.66,149,11,0,100,1584,1/24/17 1:25
1/24/2017,1:30,918388,334904,100.88,148,11,0,100,1682,1/24/17 1:30
1/24/2017,1:35,918536,334304,101.07,149,11,0,100,1490,1/24/17 1:35
1/24/2017,1:40,918473,333771,101.23,148,11,0,100,1172,1/24/17 1:40
1/24/2017,1:45,918396,333283,101.36,148,11,0,100,1059,1/24/17 1:45
1/24/2017,1:50,918378,332641,101.55,148,11,0,100,1465,1/24/17 1:50
1/24/2017,1:55,918435,332187,101.7,149,10,0,100,1089,1/24/17 1:55
1/24/2017,2:00,918397,331534,101.89,149,10,0,100,1469,1/24/17 2:00
1/24/2017,2:05,918452,330966,102.07,149,10,0,100,1353,1/24/17 2:05
1/24/2017,2:10,918666,330425,102.25,149,10,0,100,1425,1/24/17 2:10
1/24/2017,2:15,918719,329891,102.42,149,10,0,100,1277,1/24/17 2:15
1/24/2017,2:20,918788,329288,102.61,149,10,0,100,1452,1/24/17 2:20
1/24/2017,2:25,918732,328711,102.78,149,10,0,100,1291,1/24/17 2:25
1/24/2017,2:30,918706,328054,102.98,149,10,0,100,1504,1/24/17 2:30
1/24/2017,2:35,918696,327422,103.17,148,10,0,100,1472,1/24/17 2:35
1/24/2017,2:40,918733,326913,103.33,149,10,0,100,1217,1/24/17 2:40
1/24/2017,2:45,918682,326268,103.52,149,10,0,100,1463,1/24/17 2:45
1/24/2017,2:50,918621,325611,103.72,149,10,0,100,1486,1/24/17 2:50
1/24/2017,2:55,918562,324978,103.91,149,10,0,100,1435,1/24/17 2:55
1/24/2017,3:00,918412,324363,104.08,149,10,0,100,1320,1/24/17 3:00
1/24/2017,3:05,918393,323707,104.28,149,10,0,100,1528,1/24/17 3:05
1/24/2017,3:10,918364,322981,104.5,149,10,0,100,1688,1/24/17 3:10
1/24/2017,3:15,918282,322330,104.69,149,10,0,100,1470,1/24/17 3:15
1/24/2017,3:20,918317,321712,104.89,149,10,0,100,1492,1/24/17 3:20
1/24/2017,3:25,918480,321156,105.08,149,10,0,100,1454,1/24/17 3:25
1/24/2017,3:30,918417,320421,105.3,149,10,0,100,1695,1/24/17 3:30
1/24/2017,3:35,918501,319750,105.52,149,10,0,100,1668,1/24/17 3:35
1/24/2017,3:40,918679,319111,105.74,149,10,0,100,1673,1/24/17 3:40
1/24/2017,3:45,918691,318275,106,148,10,0,100,2024,1/24/17 3:45
1/24/2017,3:50,918783,317673,106.2,149,10,0,100,1520,1/24/17 3:50
1/24/2017,3:55,918701,317025,106.4,148,10,0,100,1499,1/24/17 3:55
1/24/2017,4:00,918805,316484,106.58,149,10,0,100,1388,1/24/17 4:00
1/24/2017,4:05,918868,315775,106.81,149,10,0,100,1762,1/24/17 4:05
1/24/2017,4:10,918955,315188,107.01,149,10,0,100,1491,1/24/17 4:10
1/24/2017,4:15,918907,314548,107.2,149,10,0,100,1510,1/24/17 4:15
1/24/2017,4:20,918910,313936,107.4,149,10,0,100,1487,1/24/17 4:20
1/24/2017,4:25,918765,313303,107.59,149,10,0,100,1419,1/24/17 4:25
1/24/2017,4:30,918629,312702,107.76,149,10,0,100,1351,1/24/17 4:30
1/24/2017,4:35,918553,312231,107.91,149,10,0,100,1086,1/24/17 4:35
1/24/2017,4:40,918350,311632,108.08,149,10,0,100,1296,1/24/17 4:40
